,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
-1,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,w,w,w,w,w,w,w,w,w,,,,,,,,,w,w,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,w,w,w,w,w,w,w,w,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,w,w,w,w,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,w,w,w,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,w,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9,B,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,w,w,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,w,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11,w,w,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,w,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12,w,w,w,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13,w,w,w,w,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14,w,w,w,w,w,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,w,w,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,
-16,w,w,w,w,w,w,w,w,w,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,pd,w,pd,pd,pd,pd,,,,,,,,,w,w,w,w,w,w,,,,,,,,,,,,,,,,,
-17,w,w,w,w,w,w,w,w,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,w,w,w,w,w,,,,,,,,,,,,,,,,,
-18,w,w,w,w,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,w,w,w,,,,,,,,,,,,,,,,,
-19,w,w,w,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,w,w,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,
-20,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,C,w,w,,,,,,,,,,,,,,,,,
-21,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,
-22,w,w,,,,,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,
-23,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,
-24,w,w,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,
-25,w,w,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,w,w,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,
-26,w,w,w,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,w,w,w,,,,,,,,,,,,,,,,,
-27,w,w,w,w,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,w,w,w,w,w,,,,,,,,,,,,,,,,,
-28,w,w,w,w,w,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,pl,w,w,w,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,w,pu,pu,pu,pu,,,,,,,,,w,w,w,w,w,w,,,,,,,,,,,,,,,,,
-29,w,w,w,w,w,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,B,,w,w,w,w,w,w
-30,w,w,w,w,w,w,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,K,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,w,w,w,w,w,w
-31,w,w,w,w,w,w,w,,,,,,,,,,w,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,w,w,w,w
-32,w,w,w,w,w,w,w,,,,,,,,,,,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,w,w,,,,,,,,,,,,,,,,w,w
-33,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,w,w,,,,,,,,,,,,,,,,w,w
-34,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,w
-35,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
-36,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
-37,w,,,,,w,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,w
-38,w,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,pr,,,,,,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,w,w
-39,w,,,,,,,,,,,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,pr,,,,,,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,w,w
-40,w,,,,,,,,,,,,w,w,w,w,w,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,w,w,w,,,,,,,,,,,,,,,w,w,w
-41,w,,,,,,,,,,,,w,w,w,w,w,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,WO,WO,,,w,w,w,w,w,,,,,,,,,,,,,,,w,w,w
-42,w,,,,,,,,,,,,,w,w,w,w,w,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,WO,WO,,w,w,w,w,w,w,,,,,,,,,,,,,,,w,w,w
-43,w,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,w,w,w
-44,w,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w
